"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"BAT1";"BU2032BU2032SM";"BU2032BU2032SM";"BU2032SM";"";"";"";
"D1";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D2";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D3";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D4";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D5";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D6";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D7";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D8";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D10";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D11";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D12";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D13";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D14";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D15";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"D16";"";"LED1206-BOTTOM-SMALL_SILK";"LED-REV-MNT-SMALLSILK";"LEDs";"";"";
"JP3";"Top header";"PINHD-1X20";"1X20";"PIN HEADER";"";"";
"JP4";"Bottom header";"PINHD-1X20";"1X20";"PIN HEADER";"";"";
"Q1";"200mA/50V";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"TRANS-00830";"200mA/50V";
"R1";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R2";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R3";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R4";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R5";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R6";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R7";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R8";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R10";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R11";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R12";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R13";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R14";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R15";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R16";"";"RESISTOR1206";"1206";"Resistor";"";"";
"R17";"10M";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R18";"10M";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"U1";"Tiny85-20-SMT";"ATTINY45TINY85-20-SMT";"SO08-EIAJ";"Atmel 8-pin 2/4/8kB flash uC";"IC-09092";"Tiny85-20-SMT";
